master,random,greedy,beam,mcts,mcts_10seconds,mcts_1second,mcts_Cp10,mcts_cost+real,mcts_sqrt2,manual
bilateral_grid,-1,-1,-1,21.72972972972973,19.794871794871796,-1,-1,-1,-1,-1,-1
local_laplacian,-1,-1,-1,117.375,183.8,-1,-1,-1,-1,-1,-1
nl_means,-1,-1,-1,25.419354838709676,27.551724137931036,-1,-1,-1,-1,-1,-1
lens_blur,-1,-1,-1,115.875,131.71428571428572,-1,-1,-1,-1,-1,-1
camera_pipe,-1,-1,-1,24.514285714285716,51.55555555555556,-1,-1,-1,-1,-1,-1
stencil_chain,-1,-1,-1,30.379310344827587,79.5,-1,-1,-1,-1,-1,-1
harris,-1,-1,-1,11.985915492957746,23.54054054054054,-1,-1,-1,-1,-1,-1
hist,-1,-1,-1,11.411764705882353,18.133333333333333,-1,-1,-1,-1,-1,-1
max_filter,-1,-1,-1,14.464285714285714,18.32608695652174,-1,-1,-1,-1,-1,-1
unsharp,-1,-1,-1,12.655737704918034,19.975609756097562,-1,-1,-1,-1,-1,-1
interpolate,-1,-1,-1,47.22222222222222,83.1,-1,-1,-1,-1,-1,-1
conv_layer,-1,-1,-1,8.357142857142858,9.363636363636363,-1,-1,-1,-1,-1,-1
iir_blur,-1,-1,-1,11.081632653061224,15.5,-1,-1,-1,-1,-1,-1
bgu,-1,-1,-1,35.0,47.333333333333336,-1,-1,-1,-1,-1,-1
mat_mul,-1,-1,-1,6.472527472527473,8.31578947368421,-1,-1,-1,-1,-1,-1
resnet_50_blockwise,-1,-1,-1,5075.75,50565.0,-1,-1,-1,-1,-1,-1
