master,random,greedy,beam,mcts,mcts_10seconds,mcts_1second,mcts_Cp10,mcts_cost+real,mcts_sqrt2,manual
bilateral_grid,-1,-1,-1,0.01076761,0.011538670000000001,-1,-1,-1,-1,-1,-1
local_laplacian,-1,-1,-1,0.0709696,0.0902106,-1,-1,-1,-1,-1,-1
nl_means,-1,-1,-1,0.0310234,0.037483499999999996,-1,-1,-1,-1,-1,-1
lens_blur,-1,-1,-1,0.003675335,0.0057436100000000006,-1,-1,-1,-1,-1,-1
camera_pipe,-1,-1,-1,0.0058799099999999995,0.005694775000000001,-1,-1,-1,-1,-1,-1
stencil_chain,-1,-1,-1,0.00883715,0.004916075000000001,-1,-1,-1,-1,-1,-1
harris,-1,-1,-1,0.00133017,0.00104906,-1,-1,-1,-1,-1,-1
hist,-1,-1,-1,0.0016681999999999999,0.00232158,-1,-1,-1,-1,-1,-1
max_filter,-1,-1,-1,0.02707675,0.06988975,-1,-1,-1,-1,-1,-1
unsharp,-1,-1,-1,0.00153246,0.00183729,-1,-1,-1,-1,-1,-1
interpolate,-1,-1,-1,0.016516049999999997,0.007310495,-1,-1,-1,-1,-1,-1
conv_layer,-1,-1,-1,0.0166332,0.0165095,-1,-1,-1,-1,-1,-1
iir_blur,-1,-1,-1,0.0468303,0.027740550000000003,-1,-1,-1,-1,-1,-1
bgu,-1,-1,-1,0.011127999999999999,0.011816150000000001,-1,-1,-1,-1,-1,-1
mat_mul,-1,-1,-1,0.0152349,0.0152663,-1,-1,-1,-1,-1,-1
resnet_50_blockwise,-1,-1,-1,0.034110249999999995,0.027660399999999998,-1,-1,-1,-1,-1,-1
