master,random,greedy,beam,mcts,mcts_10seconds,mcts_1second,mcts_Cp10,mcts_cost+real,mcts_sqrt2,manual
bilateral_grid,-1,-1,-1,0.01074254,0.00995724,-1,-1,-1,-1,-1,-1
local_laplacian,-1,-1,-1,0.0708136,0.0791882,-1,-1,-1,-1,-1,-1
nl_means,-1,-1,-1,0.0309497,0.026881799999999997,-1,-1,-1,-1,-1,-1
lens_blur,-1,-1,-1,0.00364664,0.00433303,-1,-1,-1,-1,-1,-1
camera_pipe,-1,-1,-1,0.00552722,0.00263451,-1,-1,-1,-1,-1,-1
stencil_chain,-1,-1,-1,0.008737970000000001,0.00457218,-1,-1,-1,-1,-1,-1
harris,-1,-1,-1,0.00130987,0.000960726,-1,-1,-1,-1,-1,-1
hist,-1,-1,-1,0.00163302,0.0018208500000000002,-1,-1,-1,-1,-1,-1
max_filter,-1,-1,-1,0.0269133,0.028383600000000002,-1,-1,-1,-1,-1,-1
unsharp,-1,-1,-1,0.00152114,0.00146196,-1,-1,-1,-1,-1,-1
interpolate,-1,-1,-1,0.016355599999999998,0.005464050000000001,-1,-1,-1,-1,-1,-1
conv_layer,-1,-1,-1,0.0164404,0.0098845,-1,-1,-1,-1,-1,-1
iir_blur,-1,-1,-1,0.0463526,0.0231308,-1,-1,-1,-1,-1,-1
bgu,-1,-1,-1,0.011097300000000001,0.0109695,-1,-1,-1,-1,-1,-1
mat_mul,-1,-1,-1,0.0149619,0.0149565,-1,-1,-1,-1,-1,-1
resnet_50_blockwise,-1,-1,-1,0.0338255,0.0272366,-1,-1,-1,-1,-1,-1
