master,random,greedy,beam,mcts,mcts_10seconds,mcts_1second,mcts_Cp10,mcts_cost+real,mcts_sqrt2,manual
bilateral_grid,-1,-1,-1,4.94467,4.93924,-1,-1,-1,-1,-1,-1
local_laplacian,-1,-1,-1,102.049,60.1546,-1,-1,-1,-1,-1,-1
nl_means,-1,-1,-1,6.75319,7.07834,-1,-1,-1,-1,-1,-1
lens_blur,-1,-1,-1,8.81578,10.3256,-1,-1,-1,-1,-1,-1
camera_pipe,-1,-1,-1,4.20369,4.21382,-1,-1,-1,-1,-1,-1
stencil_chain,-1,-1,-1,78.0111,70.2092,-1,-1,-1,-1,-1,-1
harris,-1,-1,-1,1.79334,1.76484,-1,-1,-1,-1,-1,-1
hist,-1,-1,-1,6.38246,0,-1,-1,-1,-1,-1,-1
max_filter,-1,-1,-1,61.8124,58.9021,-1,-1,-1,-1,-1,-1
unsharp,-1,-1,-1,4.37916,4.37871,-1,-1,-1,-1,-1,-1
interpolate,-1,-1,-1,17.7672,0,-1,-1,-1,-1,-1,-1
conv_layer,-1,-1,-1,23.36,23.36,-1,-1,-1,-1,-1,-1
iir_blur,-1,-1,-1,9.24476,0,-1,-1,-1,-1,-1,-1
bgu,-1,-1,-1,16.6534,17.4789,-1,-1,-1,-1,-1,-1
mat_mul,-1,-1,-1,11.5766,11.5766,-1,-1,-1,-1,-1,-1
resnet_50_blockwise,-1,-1,-1,37.171744999999994,17.030192,-1,-1,-1,-1,-1,-1
