test,master,greedy,beam,manual,mcts
bilateral_grid,0.00971519,0.01059266,0.008141389999999998,0.007589800000000001,0.01055287
local_laplacian,0.0813297,0.07089190000000001,0.0777041,0.0361393,0.075821
nl_means,0.0595039,0.0499146,0.0204889,0.0517956,0.022543900000000002
lens_blur,0.0180215,0.00667307,0.00495094,0.00391313,0.0073262
camera_pipe,0.00520154,0.00650838,0.004129600000000001,0.0024536799999999998,0.00452209
stencil_chain,0.00751648,0.00671142,0.00836477,0.00417519,0.012828099999999999
harris,0.00099134,0.00085143,0.000876048,0.0005777250000000001,0.000697984
hist,0.0181039,0.00250521,0.00190661,0.00159838,0.0020981999999999997
max_filter,0.041116599999999996,0.10491500000000001,0.0248828,0.0268816,0.0486556
unsharp,0.00255069,0.0019221,0.00124665,0.00107404,0.00134673
interpolate,0.0167665,0.00691605,0.0184977,0.0030026899999999997,0.00813365
conv_layer,0.00966537,0.00705134,0.00984329,0.00463602,0.008357390000000001
iir_blur,0.0650626,0.0457165,0.0428551,0.009339930000000001,0.01967
bgu,0.0368215,0.013507400000000001,0.00849819,0.00611666,0.0079975
mat_mul,0.0243462,0.0189113,0.0122576,0.0131538,0.012217700000000001
resnet_50_blockwise,0.107433,0.056158900000000005,0.034028300000000004,28.698900000000002,0.027409600000000003
