test,master,greedy,beam,manual
bilateral_grid,0.00843166,0.011001380000000002,0.01202018,0.0106927
local_laplacian,0.2019708,0.11427380000000001,0.1070796,0.058427599999999996
nl_means,0.131962,0.0938139,0.0803811,0.100404
lens_blur,0.492631,0,0.48419,0.352703
camera_pipe,0,0,0.0062705,0
stencil_chain,0.017308499999999997,0.0208952,0.011282299999999999,0.0145868
harris,0,0,0.0140395,0
hist,0.0061549199999999995,0.00334043,0.00263371,0.00267329
max_filter,0.0723413,0.163509,0.0591606,0.0572641
unsharp,0.00466993,0.00265612,0.0038155299999999997,0.00382553
interpolate_generator,0.0168108,0,0,0.0163808
conv_layer,0.005721980000000001,0.00572401,0.0051497,0.00355586
mat_mul_generator,0.0407678,0.0459991,0.0458144,0.0257387
iir_blur_generator,0.188006,0.12968000000000002,0.0178978,0.02388
resnet_50_blockwise,0.14233600000000002,0,0.0868885,47.3633
bgu,0.0183311,0.00661955,0.00533633,0.230433
